"","health_outcomes_rank","health_factors_rank","life_length_rank","life_quality_rank","health_behav_rank","clinical_care_rank","socio_econ_fact_rank","physical_env_rank","County"
"185",3,3.85714285714286,2.85714285714286,3.71428571428571,4.14285714285714,7.42857142857143,3.14285714285714,1.57142857142857,57
"186",2.28571428571429,4.42857142857143,2.42857142857143,2,7.85714285714286,7.57142857142857,2.14285714285714,4.42857142857143,58
"187",9.57142857142857,8.85714285714286,9.57142857142857,9,9.71428571428571,6.42857142857143,8.42857142857143,2.28571428571429,59
"188",7.28571428571429,5.14285714285714,7.71428571428571,5.57142857142857,6.71428571428571,4.71428571428571,5.57142857142857,3.57142857142857,60
"189",7.57142857142857,2.71428571428571,6.71428571428571,7.85714285714286,2.57142857142857,4,3.57142857142857,4.85714285714286,61
"190",4.42857142857143,9.14285714285714,4.57142857142857,4.14285714285714,6.85714285714286,9.71428571428571,9,7.85714285714286,62
"191",2.42857142857143,1.85714285714286,6,1,1,4.85714285714286,3.85714285714286,3.42857142857143,63
"192",5.42857142857143,7.57142857142857,5.57142857142857,6.57142857142857,4.71428571428571,9.85714285714286,6.28571428571429,1.71428571428571,64
"193",7.28571428571429,3.57142857142857,8.42857142857143,4,4.14285714285714,5.14285714285714,4.14285714285714,1,1
"194",3.14285714285714,7.28571428571429,1.14285714285714,9,7.14285714285714,7.71428571428571,5.14285714285714,6.71428571428571,2
"195",1.85714285714286,1.14285714285714,2.42857142857143,1.85714285714286,2,1.28571428571429,1.28571428571429,4.57142857142857,3
"196",6.42857142857143,5,5.14285714285714,8.71428571428571,2.85714285714286,3.28571428571429,7.42857142857143,7.14285714285714,4
"197",7.14285714285714,8.14285714285714,6.57142857142857,8.14285714285714,9.14285714285714,6.57142857142857,7.85714285714286,7.57142857142857,5
"198",3.85714285714286,3.85714285714286,4.42857142857143,3.42857142857143,6.14285714285714,5.42857142857143,2.57142857142857,8,6
"199",9.71428571428571,8,9.57142857142857,8,9.85714285714286,5.71428571428571,6.28571428571429,9.42857142857143,7
"200",2.14285714285714,2.57142857142857,1.71428571428571,3.14285714285714,5.14285714285714,2.71428571428571,2,3.85714285714286,8
"201",7.57142857142857,5.28571428571429,7.57142857142857,7,4,2.14285714285714,6.42857142857143,9.71428571428571,9
"202",4.28571428571429,2.85714285714286,5.85714285714286,3.71428571428571,5.28571428571429,1.42857142857143,2.85714285714286,3,10
"203",6.14285714285714,7.57142857142857,7,4.42857142857143,6.57142857142857,9.28571428571428,5.85714285714286,2.14285714285714,11
"204",1.14285714285714,1.71428571428571,1,1.57142857142857,1.57142857142857,5,1.14285714285714,7.85714285714286,12
"205",9.57142857142857,9.42857142857143,9.42857142857143,9.42857142857143,8.14285714285714,8.57142857142857,9.42857142857143,10,13
"206",5.71428571428571,6.71428571428571,6.28571428571429,6,5.57142857142857,6.71428571428571,7,5.42857142857143,14
"207",9.28571428571428,8.57142857142857,8.57142857142857,9.57142857142857,3.85714285714286,8.14285714285714,8.85714285714286,7.42857142857143,15
"208",8.57142857142857,8.28571428571428,8.14285714285714,7.85714285714286,9.57142857142857,7.85714285714286,6.57142857142857,6,16
"209",3.42857142857143,1.85714285714286,4.14285714285714,2.42857142857143,1.28571428571429,1,4,2.42857142857143,17
"210",10,10,9.85714285714286,9.28571428571428,8.28571428571428,9.14285714285714,10,6.85714285714286,18
"211",4,5.14285714285714,5.57142857142857,3.57142857142857,4.57142857142857,4.57142857142857,4.85714285714286,8.57142857142857,19
"212",8.28571428571428,7.14285714285714,8.28571428571428,7.71428571428571,6,7.57142857142857,6.14285714285714,4.85714285714286,20
"213",7,9.57142857142857,6.14285714285714,8.57142857142857,10,9.71428571428571,9,5.57142857142857,21
