Year,FIPS,State,County,Year,health_outcomes_rank,health_factors_rank,life_length_rank,life_quality_rank,health_behav_rank,clinical_care_rank,socio_econ_fact_rank,physical_env_rank,premature_deaths,premature_death_ypll_rate,ypll_black,ypll_hispanic,ypll_white,life_expectancy,life_expectancy_black,life_expectancy_hispanic,life_expectancy_white,poor_or_fair_health_percent,poor_physical_health_days_avg,adult_smoking_percent,excessive_drinking_percent,adult_obesity_percent,food_env_index,uninsured_percent,number_of_diabetics,percent_receiving_hba1c,percent_receiving_hba1c_black,percent_receiving_hba1c_white,AFGR,hs_grad_rate,PSED_completion_rate,unemployed_percent,income_inequality_GINI,income_ineq_80th_percentile_income,income_ineq_20th_percentile_income,income_ineq_income_ratio,percent_no_emo_social_support,percent_access_healthy_food_access,percent_limited_access_healthy_food_access,percent_food_insecure,percent_fast_food,access_exercise_opp_percent,access_rec_fac_rate,park_access_percent,diabetic_percent,binge_drinking_percent,physical_inactivity_percent,median_household_income,res_segregation_index_black_white,res_segregation_index_nonwh_white,liquor_store_density_rate,african_american_percent,american_indian_percent,asian_percent,pacific_islander_percent,hispanic_percent,nonhispanic_white_percent,not_eng_prof_percent,female,rural
2010,22107,Louisiana,Tensas,2010,8,55,19,3,47,42,60,7,110,9988,,,,,,,,15,2,,,33,,25,84,73,,,59,,16,8,52,,,,,0,,,,,,,,,,,,,0,,,,,,,,,
2010,22109,Louisiana,Terrebonne,2010,34,17,32,36,27,17,19,15,1533,10894,,,,,,,,21,3.7,25,16,30,,19,1168,83,,,63,,14,4,44,,,,30,46,,,,,,,,16,,,,,0.1,,,,,,,,,
2010,22111,Louisiana,Union,2010,20,46,15,25,34,59,36,46,343,9852,,,,,,,,23,4.7,23,6,32,,28,362,66,,,64,,16,5,48,,,,23,33,,,,,,,,6,,,,,0.9,,,,,,,,,
2010,22113,Louisiana,Vermilion,2010,17,23,11,23,15,47,23,17,726,9636,,,,,,,,20,4.3,24,16,29,,25,586,70,,,69,,10,4,45,,,,22,63,,,,,,,,16,,,,,0.4,,,,,,,,,
2010,22115,Louisiana,Vernon,2010,2,44,4,4,60,54,11,40,540,8672,,,,,,,,18,4.1,30,13,31,,26,413,77,,,66,,16,5,41,,,,19,17,,,,,,,,13,,,,,0.4,,,,,,,,,
2010,22117,Louisiana,Washington,2010,61,54,61,54,63,37,48,5,907,13931,,,,,,,,24,5,29,6,32,,18,707,76,,,72,,12,6,47,,,,26,50,,,,,,,,6,,,,,0,,,,,,,,,
2010,22119,Louisiana,Webster,2010,44,32,49,34,30,14,45,36,744,12207,,,,,,,,18,3.1,23,9,31,,20,544,77,,,65,,13,6,47,,,,28,45,,,,,,,,9,,,,,1,,,,,,,,,
2010,22121,Louisiana,West Baton Rouge,2010,54,7,48,62,8,27,21,2,356,12018,,,,,,,,22,4,17,,31,,20,205,71,,,69,,17,5,45,,,,18,75,,,,,,,,,,,,,0,,,,,,,,,
2010,22123,Louisiana,West Carroll,2010,9,60,7,21,21,64,58,25,167,8948,,,,,,,,18,2.4,27,6,30,,25,178,66,,,58,,11,10,46,,,,,40,,,,,,,,6,,,,,0,,,,,,,,,
2010,22125,Louisiana,West Feliciana,2010,14,10,42,1,7,22,20,31,240,11550,,,,,,,,18,1.8,16,11,32,,23,72,76,,,74,,12,5,45,,,,,40,,,,,,,,11,,,,,0.7,,,,,,,,,
2010,22127,Louisiana,Winn,2010,35,41,29,42,18,58,28,62,260,10652,,,,,,,,22,5.8,22,12,31,,20,232,56,,,74,,11,5,46,,,,13,14,,,,,,,,12,,,,,1.9,,,,,,,,,
2011,22000,Louisiana,,2011,,,,,,,,,63422,10654,,,,,,,,19,3.7,23,16,32,,26,19360,77,,,61,,51.1,6.8,,,,,23,62,,,,,9,,11,14,30,43635,,,4,32,0.5,1.5,0,3.6,,2.6,51.4,27.4
2011,22001,Louisiana,Acadia,2011,50,21,52,44,21,27,30,24,1019,12386,,,,,,,,22,4,23,17,31,,26,541,80,,,65,,35.5,6.5,,,,,28,63,,,,,8,,10,16,29,37862,,,2,18.8,0.2,0.2,0,1.3,,3.2,51.3,49.1
2011,22003,Louisiana,Allen,2011,2,36,1,49,34,47,34,32,203,5842,,,,,,,,23,5.1,23,11,34,,25,143,63,,,75,,35.7,9.7,,,,,28,60,,,,,4,,13,11,34,40131,,,4,24.2,2,0.7,0,5.1,,2.6,44,67.8
2011,22005,Louisiana,Ascension,2011,10,3,7,13,7,10,3,64,1057,8976,,,,,,,,20,3.5,20,20,31,,24,300,77,,,75,,55,6,,,,,20,86,,,,,14,,9,19,28,61345,,,5,21.4,0.3,0.9,0,4.4,,2.2,50.4,25.1
2011,22007,Louisiana,Assumption,2011,31,32,11,59,30,17,44,57,303,9282,,,,,,,,24,4.4,24,13,33,,24,110,88,,,55,,31.3,8,,,,,25,80,,,,,9,,12,10,35,41319,,,4,31.1,0.4,0.2,0,2.3,,4.2,51.3,45.4
2011,22009,Louisiana,Avoyelles,2011,51,54,43,57,61,34,41,29,694,11614,,,,,,,,27,4.7,30,11,34,,25,229,78,,,60,,36.8,7.6,,,,,25,73,,,,,2,,12,10,35,32744,,,0,30.9,1.2,0.2,0,1.3,,2.3,50.8,62.6
2011,22011,Louisiana,Beauregard,2011,29,20,31,24,25,45,13,49,571,10781,,,,,,,,25,4.4,25,15,31,,30,221,79,,,75,,43.5,7.8,,,,,20,29,,,,,3,,12,13,32,43398,,,0,13.7,0.8,0.8,0,2.8,,0.6,49.7,70.4
2011,22013,Louisiana,Bienville,2011,40,56,45,26,62,42,43,50,271,11721,,,,,,,,22,3.2,26,17,36,,26,107,84,,,70,,36.2,9.6,,,,,22,29,,,,,0,,14,14,33,31440,,,14,41.8,0.3,0.2,0,1.6,,0,52,80.4
2011,22015,Louisiana,Bossier,2011,4,8,2,17,18,23,7,33,1276,8182,,,,,,,,17,3.2,27,17,29,,28,527,82,,,70,,57.7,6.1,,,,,20,63,,,,,13,,11,15,27,49331,,,5,20.8,0.5,1.6,0.1,5.2,,2.5,50.9,27.9
2011,22017,Louisiana,Caddo,2011,38,18,40,37,14,1,45,59,3833,11188,,,,,,,,17,3.5,22,12,31,,27,1246,77,,,60,,53.4,7.8,,,,,24,61,,,,,10,,13,11,30,36527,,,11,46.8,0.4,0.9,0,2.4,,1.1,52.5,15.9
